comparison_id	source_a	source_b	beta_a	se_a	p_a	beta_b	se_b	p_b	source_difference_fdr	exposure	outcome	endpoint_family	instrument_basis	example_type
t2d_eur_bmiunadjusted__tier1_040_osteoporosis	FinnGen R12	Pan-UKB	-0.129815061851254	0.041739156840653	0.00186992005828882	-0.0671635823368335	0.0406956237523809	0.0988635373681817	0.980943826346742	Type 2 diabetes liability (European, Mahajan 2018 BMI-unadjusted)	Osteoporosis	tier1_040_osteoporosis	common-SNP sensitivity analysis	practical_equivalence_example
cigarettes_per_day_gscan__tier1_023_constipation	FinnGen R12	Pan-UKB	-0.00328719456088573	0.0411046794042363	0.936260083810877	0.269467859644393	0.0808478281845643	0.000859071191975875	0.0776049271278257	Cigarettes per day (GSCAN)	Constipation	tier1_023_constipation	common-SNP sensitivity analysis	asymmetric_support_example
t2d_eur_bmiunadjusted__tier1_016_hernia_of_abdominal_wall	FinnGen R12	Pan-UKB	0.303847354768624	0.0263659958503804	9.96181696788332e-31	-0.0180349447898605	0.0178611729984423	0.31262513271901	5.43176410043199e-21	Type 2 diabetes liability (European, Mahajan 2018 BMI-unadjusted)	FinnGen: Hernia of abdominal wall; Pan-UKB: Abdominal hernia	tier1_016_hernia_of_abdominal_wall	common-SNP sensitivity analysis	source_heterogeneity_example
