comparison_id	exposure	outcome	endpoint_family	source_a	source_b	instrument_basis	beta_a	se_a	p_a	beta_b	se_b	p_b	effect_difference	effect_difference_se	effect_difference_p	effect_difference_fdr	fdr_basis	assumed_source_estimate_correlation	effect_difference_ci95_low	effect_difference_ci95_high	effect_difference_ci90_low	effect_difference_ci90_high	equivalence_or_margin	practical_equivalence	nominal_source_difference	fdr_source_difference	both_nominal_concordant	naive_significance_asymmetry	naive_claim	source_effect_class	recommended_wording	suggested_sentence
t2d_eur_bmiunadjusted__tier1_040_osteoporosis	Type 2 diabetes liability (European, Mahajan 2018 BMI-unadjusted)	Osteoporosis	tier1_040_osteoporosis	FinnGen R12	Pan-UKB	common-SNP sensitivity analysis	-0.129815061851254	0.041739156840653	0.00186992005828882	-0.0671635823368335	0.0406956237523809	0.0988635373681817	-0.0626514795144205	0.0582948626069569	0.282493770482575	0.980943826346742	input column: source_difference_fdr	0	-0.176907310707767	0.0516043516789257	-0.158537995706111	0.0332350366772702	1.2	TRUE	FALSE	FALSE	FALSE	TRUE	naive one-source significance would invite source-restricted wording	evidence_of_practical_equivalence	Report practical equivalence under the declared margin; do not describe the result as source restriction or replication failure.	For Type 2 diabetes liability (European, Mahajan 2018 BMI-unadjusted) versus Osteoporosis, FinnGen R12 beta = -0.130 (SE 0.042, P = 0.002) and Pan-UKB beta = -0.067 (SE 0.041, P = 0.099); the paired source-effect difference was -0.063 (90% CI -0.159 to 0.033; FDR = 0.981), classified as evidence_of_practical_equivalence.
cigarettes_per_day_gscan__tier1_023_constipation	Cigarettes per day (GSCAN)	Constipation	tier1_023_constipation	FinnGen R12	Pan-UKB	common-SNP sensitivity analysis	-0.00328719456088573	0.0411046794042363	0.936260083810877	0.269467859644393	0.0808478281845643	0.000859071191975875	-0.272755054205279	0.0906971112609761	0.00263563903452993	0.0776049271278257	input column: source_difference_fdr	0	-0.450518125778614	-0.0949919826319434	-0.421938526616916	-0.123571581793641	1.2	FALSE	TRUE	FALSE	FALSE	TRUE	naive one-source significance would invite source-restricted wording	asymmetric_support_without_demonstrated_heterogeneity	Report asymmetric statistical support without demonstrated source heterogeneity; avoid replication-failure or source-specific language.	For Cigarettes per day (GSCAN) versus Constipation, FinnGen R12 beta = -0.003 (SE 0.041, P = 0.936) and Pan-UKB beta = 0.269 (SE 0.081, P = 8.59e-04); the paired source-effect difference was -0.273 (90% CI -0.422 to -0.124; FDR = 0.078), classified as asymmetric_support_without_demonstrated_heterogeneity.
t2d_eur_bmiunadjusted__tier1_016_hernia_of_abdominal_wall	Type 2 diabetes liability (European, Mahajan 2018 BMI-unadjusted)	FinnGen: Hernia of abdominal wall; Pan-UKB: Abdominal hernia	tier1_016_hernia_of_abdominal_wall	FinnGen R12	Pan-UKB	common-SNP sensitivity analysis	0.303847354768624	0.0263659958503804	9.96181696788332e-31	-0.0180349447898605	0.0178611729984423	0.31262513271901	0.321882299558485	0.0318463065058189	5.12430575512433e-24	5.43176410043199e-21	input column: source_difference_fdr	0	0.259464685766456	0.384299913350513	0.26949978679738	0.374264812319589	1.2	FALSE	TRUE	TRUE	FALSE	TRUE	naive one-source significance would invite source-restricted wording	evidence_of_source_heterogeneity	Report evidence of source heterogeneity, followed by phenotype, ascertainment, instrument, and source-feature review.	For Type 2 diabetes liability (European, Mahajan 2018 BMI-unadjusted) versus FinnGen: Hernia of abdominal wall; Pan-UKB: Abdominal hernia, FinnGen R12 beta = 0.304 (SE 0.026, P = 9.96e-31) and Pan-UKB beta = -0.018 (SE 0.018, P = 0.313); the paired source-effect difference was 0.322 (90% CI 0.269 to 0.374; FDR = 5.43e-21), classified as evidence_of_source_heterogeneity.
