scenario_id	common_effect	true_source_difference	old_asymmetric_support_rate	nominal_heterogeneity_rate	fdr_heterogeneity_rate	practical_equivalence_rate
1	0	0	0.095488215488216	0.0506531986531988	0.000269360269360269	0.397690235690238
2	0	0.0953101798043249	0.208868686868688	0.339414141414143	0.259063973063972	0.308215488215488
3	0	0.182321556793955	0.231959595959597	0.490215488215491	0.440996632996637	0.0225117845117846
4	0	0.262364264467491	0.220659932659935	0.570148148148143	0.53494949494949	0.000538720538720539
5	0.0953101798043249	0	0.229575757575759	0.0496430976430979	0.000208754208754209	0.397818181818185
6	0.0953101798043249	0.0953101798043249	0.373481481481484	0.336760942760944	0.25870707070707	0.309683501683501
7	0.0953101798043249	0.182321556793955	0.624430976430973	0.488606060606064	0.43965656565657	0.0227138047138048
8	0.0953101798043249	0.262364264467491	0.501387205387205	0.57241077441077	0.535912457912452	0.000505050505050506
9	0.182321556793955	0	0.216464646464648	0.0500673400673403	0.000195286195286195	0.397023569023572
10	0.182321556793955	0.0953101798043249	0.27311111111111	0.336538720538721	0.258148148148147	0.309737373737373
11	0.182321556793955	0.182321556793955	0.37387878787879	0.489198653198656	0.441158249158254	0.0224175084175085
12	0.182321556793955	0.262364264467491	0.514262626262623	0.572188552188548	0.535050505050499	0.000552188552188553
