uncertainty_class	n	analysis	class_label	total
evidence_of_source_heterogeneity	31	"All available
instruments"	"Source
heterogeneity"	243
evidence_of_practical_equivalence	45	"All available
instruments"	"Practical
equivalence"	243
asymmetric_support_without_demonstrated_heterogeneity	167	"All available
instruments"	"Asymmetric
support"	243
evidence_of_source_heterogeneity	27	Common SNPs	"Source
heterogeneity"	218
evidence_of_practical_equivalence	43	Common SNPs	"Practical
equivalence"	218
asymmetric_support_without_demonstrated_heterogeneity	148	Common SNPs	"Asymmetric
support"	218
