figure	role	script	source_data	outputs	run_command
Figure 1	Calibration map and paired-reporting decision impact	code/render_method_hardening_figures.R	figures/source_data/figure1_panelB_claim_overcall_decision_impact.tsv; figures/source_data/figure1_panelC_common_snp_stability.tsv; figures/source_data/figure2_source_interpretation_impact_index.tsv	figures/Figure1_Claim_Impact_Paired_Source_Reporting.png; figures/Figure1_Claim_Impact_Paired_Source_Reporting.pdf; figures/Figure1_Claim_Impact_Paired_Source_Reporting.svg	Rscript code/render_method_hardening_figures.R --final
Figure 2	Correlation sensitivity, simulation, and direct-association transfer	code/render_method_hardening_figures.R	figures/source_data/figure2_panelA_rho_sensitivity.tsv; figures/source_data/figure2_panelB_axis_counts_rho.tsv; figures/source_data/figure3_simulation_operating_characteristics.tsv; figures/source_data/figure2_panelD_non_mr_2d_matrix.tsv; figures/source_data/figure2_panelD_non_mr_2d_cell_summary.tsv	figures/Figure2_Robustness_and_Stress_Tests.png; figures/Figure2_Robustness_and_Stress_Tests.pdf; figures/Figure2_Robustness_and_Stress_Tests.svg	Rscript code/render_method_hardening_figures.R --final
Figure 3	Executable mini-report and worked example	code/render_method_hardening_figure3.R	reporting_extension/example_input_source_effect.tsv; reporting_extension/example_output_source_effect_report.tsv	figures/Figure3_Reusable_Mini_Report_Worked_Example.png; figures/Figure3_Reusable_Mini_Report_Worked_Example.pdf; figures/Figure3_Reusable_Mini_Report_Worked_Example.svg	Rscript code/render_method_hardening_figure3.R
Supplementary Figure S1	Common-SNP instrument overlap, class stability, claim impact, and effect-difference stability	code/render_supplementary_figure_s1.R	figures/source_data/supplementary_figure_s1_panelA_common_snp_overlap.tsv; figures/source_data/supplementary_figure_s1_panelB_class_transition_long.tsv; figures/source_data/supplementary_figure_s1_panelC_naive_overcall_stability.tsv; figures/source_data/supplementary_figure_s1_panelD_effect_difference_stability.tsv	supplementary_figures/Supplementary_Figure_S1_Common_SNP_Source_Effect_Stability.png; supplementary_figures/Supplementary_Figure_S1_Common_SNP_Source_Effect_Stability.pdf; supplementary_figures/Supplementary_Figure_S1_Common_SNP_Source_Effect_Stability.svg	Rscript code/render_supplementary_figure_s1.R
Supplementary Figure S2	Supporting third-source stress-test counts	code/render_method_hardening_figures.R	figures/source_data/figure2_supporting_third_source_stress_test.tsv	supplementary_figures/Supplementary_Figure_S2_Third_Source_Stress_Test.png; supplementary_figures/Supplementary_Figure_S2_Third_Source_Stress_Test.pdf; supplementary_figures/Supplementary_Figure_S2_Third_Source_Stress_Test.svg	Rscript code/render_method_hardening_figures.R --final
